,ACWI IMI IMI (Large+Mid+Small Cap),ACWI Standard (Large+Mid Cap),WORLD Standard (Large+Mid Cap),EM (EMERGING MARKETS) Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),NORTH AMERICA Standard (Large+Mid Cap),S&P 500,NASDAQ,Dow Jones
1969-12,,,100.000,,100.000,100.000,,,
1970-01,,,94.249,,98.933,93.347,,,
1970-02,,,96.979,,95.657,98.153,,,
1970-03,,,97.075,,96.663,98.514,,,
1970-04,,,87.800,,89.345,89.644,,,
1970-05,,,82.060,,84.362,84.145,,,
1970-06,,,79.837,,85.142,81.067,,,
1970-07,,,84.585,,88.972,86.746,,,
1970-08,,,87.175,,89.423,90.007,,,
1970-09,,,89.788,,90.180,92.985,,,
1970-10,,,88.264,,89.496,92.000,,,
1970-11,,,90.035,,85.177,96.626,,,
1970-12,,,94.292,,86.952,101.638,,,
1971-01,,,98.420,,90.435,105.898,,,
1971-02,,,99.255,,90.479,106.704,,,
1971-03,,,103.407,,93.231,110.759,,,
1971-04,,,106.587,,96.871,114.337,,,
1971-05,,,103.859,,99.323,109.822,,,
1971-06,,,104.711,,99.931,110.232,,,
1971-07,,,102.836,,104.229,106.443,,,
1971-08,,,104.877,,103.881,110.497,,,
1971-09,,,103.676,,101.594,108.912,,,
1971-10,,,99.540,,97.979,104.684,,,
1971-11,,,100.176,,100.415,104.919,,,
1971-12,,,108.993,,107.003,111.508,,,
1972-01,,,112.774,,113.117,113.753,,,
1972-02,,,116.888,,119.014,116.729,,,
1972-03,,,118.297,,122.072,118.227,,,
1972-04,,,119.654,,124.143,118.220,,,
1972-05,,,121.882,,125.991,118.306,,,
1972-06,,,118.841,,119.389,116.331,,,
1972-07,,,120.466,,125.392,115.566,,,
1972-08,,,123.678,,125.933,119.749,,,
1972-09,,,121.590,,118.277,119.803,,,
1972-10,,,122.381,,117.810,120.885,,,
1972-11,,,128.591,,120.735,125.276,,,
1972-12,,,130.737,,119.526,127.340,,,
1973-01,,,130.825,,119.810,124.549,,,
1973-02,,,131.515,,127.876,118.981,,,
1973-03,,,131.476,,131.194,117.542,,,
1973-04,,,124.631,,131.608,112.928,,,
1973-05,,,124.046,,133.226,110.802,,,
1973-06,,,124.611,,138.043,110.937,,,
1973-07,,,127.351,,130.381,115.060,,,
1973-08,,,121.822,,124.579,111.264,,,
